CustomerID,BikeBuyer
11000,0
11001,1
11002,0
11003,0
11004,1
11005,1
11006,1
11007,1
11008,1
11009,0
11010,0
11011,1
11012,1
11013,0
11014,0
11015,0
11016,0
11019,1
11020,0
11023,0
11024,0
11025,0
11026,0
11027,0
11028,0
11031,0
11032,0
11033,0
11034,0
11035,0
11036,0
11037,0
15127,1
11040,0
11041,0
11042,0
11043,0
11044,0
11045,0
11046,0
11047,0
11049,1
11050,0
11051,0
11052,0
11053,0
11054,0
11055,0
11056,0
11057,0
11058,0
11059,0
11060,0
11061,1
11062,0
11063,0
11064,0
11065,1
11066,0
11067,1
11070,0
11071,0
11072,0
11073,0
11074,0
11075,0
11076,0
11077,0
11078,1
11079,0
11080,1
11081,0
11082,1
11083,1
11085,0
11086,0
11088,0
11089,1
11090,0
11091,0
11093,0
11094,1
11095,0
11096,1
11097,0
11098,0
11099,1
11100,0
11101,1
11102,1
11103,0
11104,0
11105,0
11106,1
11107,1
11109,1
11110,1
11111,1
11112,0
11113,1
16475,0
11115,1
11116,1
11117,1
11119,0
11120,0
11122,0
11123,1
11124,1
11125,0
11126,0
11127,0
11129,0
11130,0
11131,0
11132,0
11133,0
11134,1
11135,0
11136,0
11137,0
11138,0
11139,0
11140,0
11141,0
11142,1
11143,0
11144,0
11145,0
11146,0
11147,0
11148,0
11149,0
11150,0
11151,0
11152,1
11153,0
11154,0
11155,1
11157,0
11158,0
11159,0
11160,0
11161,1
11163,0
11164,1
11165,0
11166,1
11169,1
11170,1
11171,1
11172,0
11173,0
11174,1
11175,1
11176,1
11177,1
11179,0
11180,1
11181,0
11182,0
11183,1
11184,0
11185,0
11186,0
11187,0
11188,0
11189,0
11190,0
11191,0
11192,0
11193,0
11194,0
11195,0
11196,0
11197,1
11198,0
11199,0
11200,1
11201,0
11202,0
11203,0
11204,0
11205,0
11206,0
11208,1
11209,1
11210,0
11211,1
11212,0
11213,0
11214,0
11216,0
11217,1
11218,0
11219,0
11220,0
11221,0
11222,0
